client_i,client_j,distance_jour_moyen
134,187,2
91,211,1
116,213,3
7,153,6
96,170,1
43,110,6
31,94,3
70,133,4
90,173,1
212,249,4
99,202,5
118,155,3
15,57,2
164,245,3
54,180,5
32,68,5
59,79,3
140,198,1
10,174,6
98,115,4
71,142,4
172,243,4
84,114,5
152,211,5
132,142,4
0,157,2
54,198,6
27,83,3
177,197,1
132,201,5
126,214,4
139,184,6
18,46,5
48,76,2
78,203,3
146,165,3
25,133,6
45,54,2
172,198,6
5,64,4
156,237,5
66,218,1
65,244,5
139,187,4
110,152,4
24,77,4
111,156,1
227,247,4
27,156,6
116,145,2
77,103,1
120,171,4
56,225,4
68,208,2
56,219,3
13,167,5
27,31,1
186,231,4
42,203,5
69,123,6
24,246,3
106,147,3
116,240,2
81,117,4
24,121,2
193,227,1
20,143,1
163,234,4
8,134,6
7,209,4
4,199,1
2,205,3
116,201,3
163,203,5
26,63,3
106,248,1
10,175,5
110,117,2
53,226,2
69,174,1
11,15,1
66,226,5
119,221,2
7,74,1
84,159,3
99,229,2
143,241,3
163,201,2
119,159,1
44,158,3
67,112,1
193,207,2
25,40,1
2,188,1
70,81,4
10,217,3
10,14,3
229,231,3
41,105,5
23,76,3
110,174,5
44,72,5
92,110,3
143,237,3
158,245,6
58,177,2
46,148,5
128,188,6
94,210,3
99,125,3
42,176,5
153,189,4
72,241,4
107,196,5
62,67,5
129,149,5
24,57,2
65,94,1
126,179,3
8,100,5
39,93,4
74,78,6
120,141,1
144,194,1
25,161,1
166,202,1
42,59,4
26,58,6
111,176,2
105,178,2
3,235,6
25,151,2
50,153,6
69,128,6
109,159,6
71,187,5
6,142,5
49,228,5
46,176,3
213,238,2
0,50,6
96,107,6
143,217,1
14,106,2
45,55,5
187,246,2
9,15,2
140,223,2
31,212,4
76,202,6
35,224,4
106,119,2
4,107,3
25,85,4
22,109,3
62,164,3
128,244,6
2,169,4
53,76,1
79,215,5
231,234,1
105,180,4
158,160,6
27,247,1
141,235,2
8,73,3
149,205,5
9,133,2
142,192,3
119,248,3
49,75,5
111,200,2
133,151,4
1,103,6
151,200,3
55,152,5
64,225,3
144,203,6
28,49,1
2,199,5
145,206,1
160,223,5
49,101,1
105,201,5
21,169,3
36,109,3
29,78,4
211,230,4
117,213,3
65,184,5
5,231,3
24,89,6
144,176,6
164,242,3
19,56,1
203,209,2
0,203,2
74,210,2
112,119,5
68,215,1
113,242,5
152,203,1
19,127,4
90,114,3
61,198,5
15,154,3
176,195,2
174,195,6
4,54,1
74,188,1
4,175,5
93,174,3
139,172,2
90,246,6
68,94,3
75,161,5
82,169,2
50,185,2
66,73,6
91,98,3
116,178,1
21,202,4
57,248,1
4,224,1
120,136,4
28,158,6
125,203,1
99,145,4
2,179,1
109,170,3
50,120,1
99,205,4
206,215,2
12,62,3
73,173,4
171,245,5
59,209,2
133,236,2
17,166,2
190,199,1
55,95,6
68,115,5
48,239,6
50,72,4
87,224,5
126,172,5
61,160,2
108,245,3
180,245,5
199,242,4
38,79,6
69,248,3
3,99,5
13,186,5
129,137,5
97,164,5
70,164,3
206,249,6
66,80,5
84,110,2
33,110,1
58,238,1
135,189,5
86,111,5
74,187,3
44,170,3
46,220,4
54,137,2
169,179,1
24,234,6
59,220,3
155,208,3
85,196,4
35,51,3
10,196,1
122,202,4
171,232,5
32,155,5
121,160,3
52,170,2
80,201,6
163,174,3
30,171,3
77,214,2
126,171,6
112,118,5
16,116,6
3,114,6
40,149,4
113,162,6
8,169,1
193,201,5
5,114,3
7,18,6
25,168,1
203,225,6
239,241,1
213,221,1
198,221,6
135,187,2
3,72,4
163,198,4
28,50,5
24,146,2
42,121,4
48,88,1
86,135,2
69,238,2
114,241,4
143,177,2
52,117,6
149,185,5
168,208,2
69,109,5
32,247,5
2,40,2
173,220,4
180,206,6
71,101,3
36,145,5
65,162,5
177,223,3
7,206,6
174,182,1
198,229,1
92,197,1
200,227,6
2,29,5
26,166,2
38,152,5
58,148,5
174,228,2
89,223,6
34,76,4
85,87,6
15,107,1
38,50,4
29,217,4
25,188,1
37,215,5
24,80,6
28,86,5
138,181,2
35,228,1
86,226,1
190,191,1
57,101,6
97,205,4
21,132,2
72,76,6
50,179,5
202,210,3
56,222,4
97,190,6
36,91,2
32,77,3
1,196,2
15,216,1
8,245,4
137,191,2
166,211,5
39,98,1
114,207,2
53,192,4
67,245,6
73,120,5
198,226,6
69,232,2
109,232,2
101,246,6
47,248,4
162,183,4
64,231,6
80,199,3
150,189,3
30,95,1
79,107,4
94,245,6
28,96,3
47,70,1
34,196,3
98,145,5
15,214,3
88,122,5
204,216,1
18,194,5
45,216,4
72,206,1
48,114,3
12,229,1
81,103,3
42,105,3
37,139,4
5,71,3
136,220,3
9,190,1
99,172,1
72,112,6
21,116,4
196,228,4
102,149,3
151,249,3
144,224,1
155,222,3
7,240,6
44,144,6
81,99,3
65,204,5
39,239,3
78,187,2
161,163,1
27,88,2
5,248,6
19,171,6
9,240,6
213,247,5
11,81,5
16,85,3
15,90,1
160,244,1
119,212,4
57,224,5
24,135,1
197,202,6
233,243,6
170,204,1
62,160,4
169,195,1
28,111,4
15,104,4
24,116,1
29,232,1
138,239,4
55,156,4
88,207,5
21,63,1
191,230,6
6,13,6
145,191,4
185,225,6
106,129,6
106,202,6
151,162,4
20,59,5
48,132,5
98,134,5
97,144,4
124,135,2
156,233,6
24,145,4
50,187,5
101,247,4
178,191,6
166,230,1
18,29,5
65,175,1
20,122,5
192,227,3
61,244,6
186,222,2
84,115,1
147,237,3
23,78,5
88,135,5
28,121,1
1,56,4
107,222,6
49,114,6
52,180,2
152,229,2
127,239,2
70,115,4
84,129,1
35,69,2
152,207,2
78,164,5
97,102,4
73,214,3
217,243,2
71,217,2
39,57,1
5,73,2
138,182,1
34,226,4
37,38,6
57,78,3
45,196,2
190,233,1
98,148,3
65,89,5
25,158,2
8,94,3
25,63,3
46,193,2
104,153,3
9,83,6
61,215,3
130,200,1
45,224,4
111,207,4
90,129,6
22,69,5
177,229,6
9,26,1
19,54,2
193,225,4
128,163,6
18,193,2
19,47,3
171,226,3
28,88,2
30,96,6
51,235,3
66,198,4
87,229,1
45,100,2
16,57,3
137,147,1
3,13,5
23,95,3
47,122,6
50,111,6
172,236,4
5,117,3
13,221,2
151,188,6
22,222,6
96,199,5
112,195,1
111,171,5
48,138,4
21,90,4
101,229,1
180,216,1
4,135,1
93,199,2
147,199,2
113,165,4
30,226,1
124,182,5
113,143,3
42,230,3
65,230,1
232,237,5
25,98,2
103,232,5
37,123,1
69,186,1
48,169,3
6,211,3
206,238,1
171,218,3
108,207,4
14,82,1
100,168,1
2,139,6
134,147,5
61,208,2
162,216,3
86,112,5
33,201,4
55,82,3
194,225,1
179,189,5
73,180,2
78,238,2
35,87,3
194,241,2
34,201,6
39,73,2
147,164,3
151,227,5
53,59,5
142,152,3
30,126,3
50,54,6
63,88,2
97,129,5
29,142,5
130,135,6
136,149,1
43,59,6
27,113,6
51,192,2
40,161,5
33,189,3
111,145,3
172,202,4
141,220,2
2,152,5
153,205,4
20,167,4
27,52,5
45,227,1
94,243,4
8,21,3
43,187,4
23,122,5
223,226,4
132,223,4
15,168,2
19,176,4
74,182,1
19,71,4
176,218,3
193,224,2
218,240,2
10,159,5
54,89,5
113,182,2
140,152,6
50,244,1
79,171,5
58,98,5
66,230,4
73,82,5
88,240,6
41,78,2
164,213,6
132,185,3
71,165,2
190,196,6
39,83,4
10,89,1
46,156,6
148,163,2
96,203,1
66,152,1
181,188,6
87,243,5
77,187,1
207,223,5
54,231,6
89,109,6
85,194,4
41,156,2
205,223,1
74,179,6
216,237,3
88,227,1
62,72,1
68,84,1
109,182,5
26,153,3
174,184,4
76,182,6
59,128,5
86,241,3
165,169,1
31,240,5
87,239,3
71,238,5
85,173,2
165,176,6
161,182,5
19,120,3
60,133,2
15,222,4
143,188,5
13,131,6
0,247,3
92,102,1
118,131,1
4,169,2
57,242,2
80,184,1
22,168,6
53,65,1
121,183,6
86,247,5
107,175,4
30,119,5
36,215,1
71,180,3
75,183,5
140,197,1
119,199,1
65,197,6
166,213,4
23,35,4
61,174,1
186,246,5
124,160,2
7,195,2
130,160,2
0,134,3
0,67,2
44,116,4
104,226,2
225,249,4
67,150,3
31,187,1
22,40,6
64,228,3
206,248,3
81,109,1
72,197,5
69,229,2
134,190,2
17,62,4
145,217,4
42,47,1
56,57,1
196,246,2
11,232,4
23,80,6
116,173,4
58,149,1
85,106,3
141,219,3
